shopno,utilization_ratio,portability_rate,rice_per_card,trans_volatility,latitude,longitude,distname,distcode,cluster,dbscan_cluster
1407001,0.8270792055226417,0.1804194604325942,25.33695940874262,20.243651318850862,16.755785,77.789107,Mahbubnagar,538,4,0
1407002,0.8102588918462499,0.19118366937308992,23.748189278170454,13.678396184037346,16.762942,77.787768,Mahbubnagar,538,4,0
1407003,0.7268200836208876,0.27565077218512146,23.834176052633012,3.7135751499180163,16.760522,77.789452,Mahbubnagar,538,4,0
1407004,0.9701810049444337,0.03465874347017621,23.577971401681726,13.099655919972678,16.74922,77.810551,Mahbubnagar,538,4,0
1407005,0.9571273136364409,0.04386941721871826,22.74118333127383,5.628481407596991,16.772474,77.804698,Mahbubnagar,538,4,0
1407006,0.9086776026160204,0.09298729631055809,23.44883210621683,5.38036019817158,16.774763,77.82474,Mahbubnagar,538,4,0
1407007,0.9743121898695628,0.027078855929592013,21.97895997527735,5.567321967663222,16.768935,77.842219,Mahbubnagar,538,4,0
1407008,0.8901344986648638,0.11253813660767584,21.28806342519081,6.044987338380638,16.778867,77.867322,Mahbubnagar,538,4,0
1407009,0.9685051152871829,0.032288576337902115,25.247241174284127,8.16908747338301,16.794326,77.848989,Mahbubnagar,538,4,0
1407010,0.9849720967629605,0.0159399711273795,23.81990361749018,7.829777692834695,16.810199,77.819086,Mahbubnagar,538,4,0
1407011,0.985351787534465,0.019187228468025525,22.558332360634314,14.234575958185745,16.777788,77.87624,Mahbubnagar,538,4,0
1407012,0.9800046051491383,0.030846299586557442,24.482441493362845,6.377299643180979,16.78199,77.798366,Mahbubnagar,538,4,0
1407013,0.9438738162645125,0.0567171786530874,22.574782477720056,7.601205504599434,16.784971,77.794598,Mahbubnagar,538,4,0
1407014,0.9853431928021115,0.02283236974418188,24.401489934636395,5.96417878432803,16.810228,77.799473,Mahbubnagar,538,4,0
1407015,0.9837299202935097,0.016270079706490276,21.70330498967012,4.528236534057643,16.803217,77.80415,Mahbubnagar,538,4,0
1407016,0.963884760623359,0.03677421957848804,20.932420005999322,6.191325570124008,16.803869,77.774878,Mahbubnagar,538,4,0
1407017,0.9281991924200594,0.07448874942218363,24.891425208169107,12.978762493476376,16.833409,77.748182,Mahbubnagar,538,4,0
1407018,1.0058975634402925,0.024088208798374852,23.405131008148032,12.099749620826854,16.854698,77.732703,Mahbubnagar,538,4,0
1407019,0.558948283119856,0.44429806062874916,23.643728110536976,20.064857890538065,16.868904,77.749054,Mahbubnagar,538,4,0
1407020,0.3534977275920452,0.6477815046500757,21.189568208565696,15.034688953256806,16.869135,77.747817,Mahbubnagar,538,2,0
1407021,0.96088214149534,0.042690560467969166,23.127232654630436,14.64581851587681,16.812194,77.745628,Mahbubnagar,538,4,0
1407022,0.9897733646224803,0.012560456129532748,22.82809960970211,6.403701208095328,16.795329,77.748812,Mahbubnagar,538,4,0
1407023,0.8964276191600496,0.10682351382127815,24.359438355573012,8.209990309781098,16.779141,77.763203,Mahbubnagar,538,4,0
1407024,0.9899800003845187,0.022253735086391314,25.483887058255526,11.888335136396142,16.744366,77.781084,Mahbubnagar,538,4,0
1407027,0.961421958125635,0.045768522693599316,22.537071105184513,7.674087933804484,16.730591,77.875229,Mahbubnagar,538,4,0
1407028,0.9455021853616828,0.05497042198045145,22.490644293160386,8.773841551253513,16.753446,77.861728,Mahbubnagar,538,4,0
1407029,0.8914795426690776,0.1093367253852134,22.01281409415367,7.341091582030783,16.75105,77.861435,Mahbubnagar,538,4,0
1407030,0.9324591910804862,0.06944153117787209,21.325891585742312,10.836673730298692,16.756225,77.843406,Mahbubnagar,538,4,0
1407031,0.9004877455957726,0.10015776473319131,22.48848041132797,10.774788123824079,16.75634,77.841716,Mahbubnagar,538,4,0
1407032,0.9850885803012036,0.016336116732135447,24.62246742610829,15.805389739819333,16.715702,77.76288,Mahbubnagar,538,4,0
1407033,0.9391372531630995,0.07718178913272486,26.24708288913442,16.81916277503735,16.759811,77.735049,Mahbubnagar,538,4,0
1407034,0.9803868671649419,0.02034873729471597,22.3773564567768,10.49513140704925,16.741951,77.759804,Mahbubnagar,538,4,0
1407035,0.94538686923518,0.05493447859989534,22.284543472352095,11.19079935249414,16.783297,77.86214,Mahbubnagar,538,4,0
1407036,0.9348533809032143,0.06588492941663018,18.620062415595164,5.728461480708462,16.780901,77.866033,Mahbubnagar,538,0,0
1407037,0.9454579264119363,0.0584114187878637,20.790922283153076,24.37342896288635,16.76849,77.707157,Mahbubnagar,538,0,0
1407038,0.9236008186008818,0.08896166677352527,21.59448801033314,12.183328672285986,16.768788,77.707305,Mahbubnagar,538,4,0
1407039,0.9984872870323698,0.0020211052947137252,23.40600597832833,12.684306272546536,16.779248,77.692612,Mahbubnagar,538,4,0
1407040,0.7681801264268759,0.23738926972509955,23.05645057701826,14.598738051946805,16.763096,77.721905,Mahbubnagar,538,4,0
1407041,0.920245274677265,0.08266956247089013,23.795929251613597,34.0686065276952,16.763037,77.721879,Mahbubnagar,538,4,0
1407042,0.9507018083560742,0.05255024284168619,30.84090537950148,9.3645384980141,16.782087,77.738075,Mahbubnagar,538,4,0
1407043,0.8646245057804751,0.13568017799405643,22.053971148095314,6.162016175713408,16.777269,77.866717,Mahbubnagar,538,4,0
1407044,0.3873710505178868,0.6140379141098399,21.365923256990968,20.412434633936467,16.867173,77.748301,Mahbubnagar,538,2,0
1407045,0.9130531536479108,0.08997931362106676,23.801882380213122,13.045864527917963,16.819076,77.747909,Mahbubnagar,538,4,0
1407048,0.8443173278650093,0.15605745018762707,22.28621877750812,8.247405921469943,16.773499,77.824546,Mahbubnagar,538,4,0
1407050,0.9926691794744781,0.01010778382108615,20.992990205072665,4.168554580503941,16.790038,77.81522,Mahbubnagar,538,4,0
1408001,0.6850584500606196,0.3154561301093227,22.57987095823945,30.983270553432416,16.81106,77.918986,Mahbubnagar,538,4,0
1408002,0.6878271372704962,0.31224763596883465,22.193942644748976,21.41997364461404,16.811095,77.919035,Mahbubnagar,538,4,0
1408003,0.9791080911474769,0.02773809435090703,23.559660798533525,12.690227418024566,16.806881,77.91126,Mahbubnagar,538,4,0
1408004,0.9769302830518839,0.02732732557721808,22.435788622667403,6.998064475548998,16.828427,77.909093,Mahbubnagar,538,4,0
1408005,0.8417330208696316,0.15890958335534314,22.7929610435791,17.46072298877228,16.818098,77.95031,Mahbubnagar,538,4,0
1408006,0.8570707179681394,0.14371920872769056,24.067489781263554,10.392660350582121,16.81878,77.94972,Mahbubnagar,538,4,0
1408007,0.9402456502363247,0.060008598436149814,24.506264805700123,6.322218230158913,16.814128,77.964333,Mahbubnagar,538,4,0
1408008,0.9525639141353073,0.04888076357699301,23.808224564923584,6.28294273872746,16.850235,77.907291,Mahbubnagar,538,4,0
1408009,1.0410411581149757,0.03691223782128142,23.28410246395529,7.140048708972678,16.856723,77.885634,Mahbubnagar,538,4,0
1408010,0.9449934588026165,0.055731348664573944,23.127655220979538,6.957117063303757,16.841276,77.933997,Mahbubnagar,538,4,0
1408011,0.9634021445969122,0.048220598575747224,26.44205706171529,10.554806530045902,16.820022,77.873752,Mahbubnagar,538,4,0
1408012,0.9192251324697162,0.08419741570139913,24.07114154343895,11.519954843918063,16.79657,77.960583,Mahbubnagar,538,4,0
1408013,0.9505515843052051,0.04981274881570528,24.219860900572815,9.871963585053908,16.796452,77.961619,Mahbubnagar,538,4,0
1408014,0.884696506768596,0.11586575740806054,21.269633851503126,18.84242409598106,16.76759,77.963213,Mahbubnagar,538,4,0
1408015,0.9173721027560724,0.09135969140155194,22.03058326088822,8.724011370019888,16.759674,77.95739,Mahbubnagar,538,4,0
1408016,0.9417289474209655,0.059064752309982656,22.742563570485945,47.49848229265668,16.87254,77.81468,Mahbubnagar,538,4,0
1408017,0.956194427216017,0.046115613719638036,22.55218808055137,8.366894651444728,16.835546,77.836255,Mahbubnagar,538,4,0
1408018,0.7008829231240974,0.30049143141921325,22.56510409359023,37.96702613968633,16.834117,77.809363,Mahbubnagar,538,4,0
